Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
andino,hembra,904.3048302161018,27.667826481876684,19.52862622555727,marrón,sano,31.449432175341254
andino,macho,743.4560999554259,NA,16.637283183859314,marrón,gordo,61.890051882322354
peruano,hembra,511.6251596374309,27.788774173155392,16.8510537908345,blanco,sano,35.206285870380015
andino,hembra,864.825557404467,26.44305621174783,21.588521356929327,pintado,sano,56.767575557468874
andino,hembra,NA,23.640126680638517,21.268276900631648,negro,NA,61.61936610820698
peruano,macho,NA,23.018799325476667,NA,negro,NA,58.16239869898135
andino,macho,NA,24.917282737581345,18.06752969881938,pintado,NA,31.845090646764596
andino,macho,666.2789719446977,19.62514773827231,17.72328403782616,negro,sano,42.44265175798411
híbrido,macho,NA,34.360499532451854,NA,tricolor,NA,24.74384619127371
peruano,macho,NA,23.92204326896733,NA,marrón,NA,42.43267884679187
andino,hembra,1089.8073886585048,28.00853945469817,19.87794769776761,negro,gordo,60.66550945171025
andino,hembra,798.3716381224009,29.03522260575213,20.157897168734127,negro,sano,33.617813545500255
andino,hembra,910.3385393493852,NA,21.246967938794295,blanco,sano,21.35405902826288
peruano,hembra,NA,NA,18.37571099597107,marrón,NA,30.773186606601488
andino,hembra,819.2454737359235,NA,20.690466549105174,negro,sano,34.97286024953674
andino,macho,765.2538494756933,24.167265841932497,17.540081230912765,blanco,sano,20.8052295126249
abisinio,hembra,628.8279815652411,20.27177971885967,15.654048477253838,blanco,gordo,12.96536636710075
andino,hembra,1014.2154994642272,27.597689903017574,19.45385705649498,marrón,gordo,22.926973513179487
peruano,hembra,824.0963106017261,27.097146682003157,17.721515825258777,marrón,gordo,31.160872155315857
andino,hembra,779.0845466709679,NA,19.13893767184109,blanco,sano,25.879069214955976
andino,macho,749.0871540300807,24.12711125581217,17.954706270026126,pintado,sano,14.073362538762456
andino,macho,NA,NA,18.3666391496688,marrón,NA,37.23538927532967
peruano,hembra,734.4914318577446,30.36764872912768,18.22162487196649,blanco,sano,30.070867960202385
híbrido,macho,NA,22.192845959111956,22.597332939985247,pintado,NA,38.82954878606742
andino,macho,632.7266979646456,25.665796959972234,17.667668857205715,blanco,sano,62.14519593951629
híbrido,macho,820.0625392120294,28.92923707576638,NA,tricolor,NA,21.66360208608753
abisinio,hembra,688.2844753233541,22.258775518841,16.159252966710376,blanco,gordo,27.628899278537688
andino,hembra,718.5585124991953,24.507050201937776,NA,negro,NA,43.39533098328813
peruano,hembra,866.94245498931,28.004530063542873,19.536275470406817,rojizo,sano,33.54108351886525
andino,macho,697.5018259937397,25.54989677075045,15.9401577735198,pintado,gordo,59.55005378070503
andino,hembra,NA,NA,NA,negro,NA,48.718905209188655
andino,macho,646.7173679014173,30.120224712502043,16.835256007727214,marrón,sano,38.50273726579859
abisinio,hembra,572.1136909544399,24.943384632396903,14.06645057111966,marrón oscuro,gordo,59.539131796674575
peruano,hembra,793.3209546442328,22.631382210235778,17.71077986974763,negro,sano,29.8973415763869
andino,hembra,848.5826285324624,22.562611599324025,20.39698988731961,negro,sano,54.719814212236734
andino,hembra,802.4503054149995,30.9862930764342,20.2828433666908,pintado,sano,50.24482582045783
peruano,hembra,887.0441244696552,NA,16.94621838245007,blanco,gordo,11.427555479493968
andino,hembra,NA,27.907612370375055,19.18912835536879,negro,NA,20.656752009754875
peruano,hembra,936.8818166058074,NA,18.84734116053937,blanco,gordo,29.54894369993549
andino,hembra,NA,25.970591258700715,19.2556063371713,pintado,NA,27.040759169464444
híbrido,macho,830.3174676935371,28.101121403815817,15.342824906570176,marrón,gordo,52.834569217136455
peruano,macho,647.6863525250742,21.739550153482185,16.776439679586552,blanco,sano,15.08107467963366
híbrido,macho,522.7315913041991,23.009911106101516,16.14844262299798,tricolor,sano,40.88658823344572
andino,macho,601.1909957935126,NA,NA,negro,NA,31.91885576184826
abisinio,hembra,652.0268322586601,24.656582068193195,NA,marrón oscuro,NA,28.37216197749326
andino,hembra,775.5699577894065,27.394306113809012,19.927291288744044,pintado,sano,49.89704048470898
andino,macho,728.7770170220625,25.283795098119935,NA,negro,NA,53.56557898573719
andino,hembra,906.4438602185196,26.425726501976065,19.02285175212845,blanco,sano,57.96386452774122
peruano,hembra,801.2802116877862,23.44539651781951,16.76149216086812,marrón,gordo,27.785898404795688
andino,hembra,1043.47276412341,29.875341544904852,19.928094734933467,marrón,gordo,57.537093739320305
andino,hembra,1066.508495337057,27.784091175266113,20.49029458014614,blanco,gordo,54.82792846993588
andino,macho,NA,24.290658576643793,18.155024609655257,blanco,NA,53.301414797086274
andino,hembra,861.5363030371424,NA,22.849050931981225,marrón,sano,61.299230361913985
abisinio,hembra,NA,21.969418708744623,15.38473419906084,blanco,NA,49.08288158057438
peruano,macho,611.6974031480967,26.682179770851643,16.54661180370824,marrón,sano,14.07317596474688
andino,macho,830.8511389537707,NA,19.486606209660053,marrón,sano,50.03725945029827
andino,macho,637.9079801030754,NA,NA,pintado,NA,62.091685262603264
andino,hembra,828.5539663758299,34.934132478252344,19.697725585576737,marrón,sano,15.00703691996368
peruano,hembra,865.9322467393175,24.74852807034601,18.824424147407655,blanco,sano,49.38799963944302
peruano,hembra,NA,26.897571689506833,17.790173600835598,tricolor,NA,46.5173682176876
andino,macho,766.1410619976273,28.239936998902795,NA,negro,NA,44.56701908955554
andino,hembra,710.3215315902195,23.3284086716771,18.3634091782738,negro,sano,28.924274069348648
andino,hembra,869.6767687077804,24.3058030163922,22.35729836142199,negro,sano,42.50247056463449
híbrido,macho,1707.7907553868824,37.914953139067805,19.249214424025077,tricolor,obeso,44.53504005700859
peruano,hembra,784.874807161827,NA,18.451854658102324,tricolor,sano,50.25077195690538
híbrido,hembra,1238.0849331415934,21.16504553705928,21.79079904248005,pintado,gordo,38.67130768505886
skinny,hembra,NA,19.23695065398713,15.99666772107794,rosa,NA,35.772338660972906
peruano,hembra,NA,29.45352022195933,20.56642775838373,rojizo,NA,30.921623291768633
peruano,hembra,601.6729763301755,26.81966749017629,16.438028988532494,marrón,sano,42.376113496837775
peruano,hembra,704.2153069146106,25.23641450921067,17.58683435749288,rojizo,sano,31.73241545823331
andino,hembra,NA,27.956839844935153,20.797079200832137,negro,NA,31.932527127716774
híbrido,macho,524.4168952100412,19.739522577152112,20.78829974338911,tricolor,flaco,44.98666937122075
peruano,macho,657.7497282535277,19.893038562739605,16.729059876441852,negro,sano,34.76280843096404
andino,hembra,914.657396516555,29.035116341033422,18.97941870055656,negro,gordo,16.919272269043596
andino,hembra,658.2129049748438,25.22038873613033,19.240060584699183,negro,sano,57.79678716154138
peruano,hembra,661.7462059930231,22.41139512422846,17.469947041718488,tricolor,sano,53.90676642079356
andino,macho,776.1680073814332,26.814991395577,18.37079560318792,blanco,sano,40.02391235543621
peruano,hembra,769.6093185150875,25.573654774847125,NA,rojizo,NA,26.902416319604033
andino,hembra,723.1430820297061,28.073833523831535,19.60179175387697,negro,sano,41.64695756323127
peruano,hembra,NA,23.83450845421412,18.091757062166263,rojizo,NA,23.50370650110138
peruano,hembra,895.7377880130248,24.4810153663476,18.037973930202337,rojizo,gordo,14.678874459394429
abisinio,hembra,633.7760889860785,NA,NA,marrón oscuro,NA,25.03395495755836
abisinio,hembra,491.09680179433064,24.3078038010207,14.852577914694953,blanco,sano,29.06442918638688
andino,macho,742.8930751052773,NA,18.386430307603607,negro,sano,48.31608156372317
andino,hembra,759.1179741155086,26.45288345069815,NA,negro,NA,15.78894474916232
andino,macho,702.1228032723859,27.96455373702148,NA,negro,NA,64.892441408449
